Date,Open,High,Low,Close,Adj Close,Volume,Day
2017-05-22,90.5,91.650002,90.199997,90.650002,90.650002,120600,922
2017-05-23,90.900002,90.900002,90,90.050003,90.050003,134900,923
2017-05-24,90.050003,90.400002,88.650002,89.300003,89.300003,184800,924
2017-05-25,89.5,90.400002,85.5,89.900002,89.900002,140000,925
2017-05-26,89.900002,90.300003,89.5,90,90,83700,926
2017-05-30,89.900002,90.800003,88.730003,90.550003,90.550003,117600,927
2017-05-31,90.800003,91.199997,89.75,91,91,131100,928
2017-06-01,91.300003,93.400002,91.150002,93.400002,93.400002,123800,929
2017-06-02,93.650002,95.75,93,94.900002,94.900002,172200,930
2017-06-05,95.199997,95.199997,93.800003,94.199997,94.199997,72000,931
2017-06-06,93.5,94.150002,93.300003,93.449997,93.449997,77900,932
2017-06-07,92.230003,94.099998,92.230003,93.849998,93.849998,83900,933
2017-06-08,94,95.650002,93.199997,95.550003,95.550003,95800,934
2017-06-09,95.949997,96.849998,95.150002,95.900002,95.900002,142100,935
2017-06-12,96,97.300003,95.449997,95.900002,95.900002,83300,936
2017-06-13,96.25,96.300003,95.300003,96,96,80300,937
2017-06-14,96.199997,96.25,95.050003,95.650002,95.650002,115300,938
2017-06-15,94.650002,95,93.599998,93.900002,93.900002,157600,939
2017-06-16,93.449997,93.599998,92.5,93.150002,93.150002,291200,940
2017-06-19,93.5,93.699997,91.800003,92.050003,92.050003,125800,941
2017-06-20,91.849998,92.599998,91.449997,91.5,91.5,116600,942
2017-06-21,91.349998,93.050003,90.050003,91.050003,91.050003,112900,943
2017-06-22,91,92.849998,90.720001,92.800003,92.800003,131600,944
2017-06-23,92.900002,94.099998,92.900002,93.800003,93.800003,733500,945
2017-06-26,94,94.650002,93.470001,93.550003,93.550003,74000,946
2017-06-27,93.5,94.050003,93.050003,93.199997,93.199997,66500,947
2017-06-28,93.699997,94.5,93.300003,93.599998,93.599998,115400,948
2017-06-29,93.75,94.099998,92.400002,92.650002,92.650002,105100,949
2017-06-30,92.949997,94.849998,92.699997,94.099998,94.099998,92100,950
2017-07-03,94.25,94.699997,93.650002,93.75,93.75,45000,951
2017-07-05,93.650002,94.949997,91.699997,91.699997,91.699997,112700,952
2017-07-06,91.050003,92.599998,90.050003,92.050003,92.050003,132300,953
2017-07-07,92.099998,94.449997,91.129997,94.25,94.25,187500,954
2017-07-10,98,98,94.099998,94.599998,94.599998,242600,955
2017-07-11,94.900002,95.379997,88.75,89.25,89.25,251200,956
2017-07-12,89.650002,91.199997,89.449997,91,91,146400,957
2017-07-13,91.349998,92.150002,91.099998,91.949997,91.949997,125700,958
2017-07-14,91.800003,93.650002,90.050003,93.199997,93.199997,127400,959
2017-07-17,93.5,94.949997,93,94.349998,94.349998,151900,960
2017-07-18,94.25,95.849998,93.949997,95.400002,95.400002,182500,961
2017-07-19,95.949997,98,95.900002,97.5,97.5,212200,962
2017-07-20,98.050003,98.5,97.650002,98.25,98.25,135100,963
2017-07-21,98.599998,99.449997,97.900002,99.150002,99.150002,132700,964
2017-07-24,98.650002,98.650002,96.809998,98.25,98.25,197400,965
2017-07-25,98.5,100.160004,98.050003,99.550003,99.550003,204000,966
2017-07-26,99.75,100.349998,99.029999,99.449997,99.449997,224000,967
2017-07-27,99.699997,100.300003,99.099998,100.199997,100.199997,195800,968
2017-07-28,99.5,100.650002,97.099998,99.900002,99.900002,132100,969
2017-07-31,99.949997,100.949997,99.599998,100.75,100.75,145200,970
2017-08-01,101,101.150002,98.910004,100.650002,100.650002,151400,971
2017-08-02,100.800003,101.199997,100,100.150002,100.150002,123600,972
2017-08-03,100.150002,100.900002,99.599998,100.199997,100.199997,92800,973
2017-08-04,100.150002,101.599998,99.650002,100.800003,100.800003,109400,974
2017-08-07,100.400002,101.150002,100.099998,100.849998,100.849998,62800,975
2017-08-08,100.900002,101.949997,100.400002,100.449997,100.449997,94100,976
2017-08-09,99.849998,100.800003,99.849998,100.25,100.25,113600,977
2017-08-10,100.050003,100.599998,99.550003,100,100,138000,978
2017-08-11,100.400002,101.300003,99.599998,100.150002,100.150002,117000,979
2017-08-14,101.050003,102.879997,100.199997,100.5,100.5,92600,980
2017-08-15,100.550003,100.550003,99.900002,100.099998,100.099998,91600,981
2017-08-16,100.25,101.25,100,101.150002,101.150002,86400,982
2017-08-17,100.650002,101.300003,97.860001,99.849998,99.849998,144600,983
2017-08-18,99.300003,100.050003,99.099998,99.800003,99.800003,145100,984
2017-08-21,99.650002,100.300003,99.300003,99.449997,99.449997,116700,985
2017-08-22,99.849998,100.800003,99.150002,100.5,100.5,75900,986
2017-08-23,99.75,99.849998,98.099998,98.199997,98.199997,128800,987
2017-08-24,98.75,99.099998,97.400002,97.599998,97.599998,90800,988
2017-08-25,97.449997,97.900002,96.800003,97.150002,97.150002,109300,989
2017-08-28,97.449997,97.900002,95.849998,96.849998,96.849998,109500,990
2017-08-29,95,95.349998,88.150002,88.599998,88.599998,544300,991
2017-08-30,88.550003,89.300003,87.449997,89.050003,89.050003,258300,992
2017-08-31,89.050003,90.449997,89.050003,90.300003,90.300003,155500,993
2017-09-01,90.699997,91.25,90.050003,90.800003,90.800003,106400,994
2017-09-05,91.050003,91.699997,89.300003,90.550003,90.550003,141400,995
2017-09-06,90.699997,90.75,88.599998,90.650002,90.650002,190600,996
2017-09-07,91.050003,92.400002,90.099998,91.699997,91.699997,186100,997
2017-09-08,91.400002,92.550003,90.949997,92.199997,92.199997,109700,998
2017-09-11,93.050003,94.550003,92.75,93.650002,93.650002,120900,999
2017-09-12,94.300003,96.25,93.75,96.099998,96.099998,124300,1000
2017-09-13,96.199997,96.449997,95.349998,95.550003,95.550003,112400,1001
2017-09-14,95.300003,95.300003,94.099998,94.800003,94.800003,87900,1002
2017-09-15,95.050003,95.800003,94.400002,95.099998,95.099998,225100,1003
2017-09-18,95.099998,95.75,94.699997,95.550003,95.550003,92100,1004
2017-09-19,95.75,95.980003,93.75,94,94,122800,1005
